name,description,agency,link,error
Construction Productivity & Capability Fund - Technology Adoption (Productivity Innovation Project),The PIP scheme aims to defray the cost of adopting Design for Manufacturing and Assembly (DfMA) and Integrated Digital Delivery (IDD) technologies.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project>,False
Productivity Innovation Project (PIP),Construction related companies can defray the cost of technology adoption aimed to help reduce site workers or improve site productivity.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project>,False
Early Childhood Industry Digital Plan,A step-by-step guide for local SMEs in the Early Childhood industry on the digital solutions to adopt and relevant training for your employees at each stage of your growth.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/smes-go-digital/industry-digital-plans/Early-Childhood-IDP>,False
Power Systems Competitive Research and Test-bedding (CRT) Funding Initiatives,"EMA rolls out competitive grant calls to catalyse applied research and development (R&D) of innovative technologies and solutions. This aims to address industry-relevant challenges and opportunities in the energy sector that lead to long-term solutions for Singapore’s energy challenges. The Power Systems CRT Funding Initiatives support competitive R&D grant call projects and test-beds in the three areas of natural gas, energy storage and future grid that will to support the Singapore Green Plan 2030 and Long-Term Low-Emissions Development Strategy.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ema.gov.sg/Industry_Energy_Research_and_Development.aspx>,False
Asian Financial Leaders Scheme (AFLS),The AFLS initiative helps FIs defray part of the costs incurred in sending promising C-1/C-2 Singaporean finance professionals on eligible leadership programmes.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/asian-financial-leaders-scheme>,False
"Environmental, Social, Governance (ESG) FinTech Grant","Empower financial institutions in addressing their key ESG data and infrastructure challenges, supporting their mobilising of capital towards sustainable activities and tracking of their net zero transition plans and programmes. The FSTI scheme is valid until March 2026.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant>,False
Financial Sector Technology and Innovation Scheme (FSTI 3.0) Centre of Excellence Grant,"Supports financial institutions, Corporate Venture Capital entities (CVCs) and global Technology companies to set up centres of excellence in Singapore to test-bed innovative ideas and roll out market solutions.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/fsti-scheme>,False
Financial Sector Technology and Innovation (FSTI) Scheme - Artificial Intelligence and Data Analytics (AIDA) Grant,The AIDA grant supports projects that demonstrate adoption of AI & DA techniques that achieve business objectives of strategy & decision making with consideration of workforce impact.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/Artificial-Intelligence-and-Data-Analytics-AIDA-Grant>,False
Financial Sector Technology and Innovation (FSTI) Scheme - Industry-wide Technological Infrastructure or Utility,The FSTI Industry-wide Projects scheme seeks to build industry-wide technological/utility infrastructure and/or improve efficiency and boost productivity in the financial services sector.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/fsti-scheme>,False
Financial Training Scheme (FTS),The FTS provides funding for financial sector-specific training programmes which are recognized under FTS.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ibf.org.sg/home/for-individuals/skills-and-jobs-development/training-support/IBF-FTS>,False
FSTI Innovation Acceleration - Early Innovation,"Provides funding support for experimentation, development and dissemination of nascent innovative technologies in the financial services sector. The FSTI Scheme is valid until March 2026.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation>,False
Grant for Equity Market Singapore (GEMS) - Research Talent Development,The GEMS Research Talent Development track supports financial institutions in developing equity research capabilities.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/grant-for-equity-market-singapore-scheme>,False
Institute of Banking and Finance Standards Training Scheme (IBF-STS),The IBF-STS provides funding for programmes accredited under the IBF standards.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ibf.org.sg/home/for-individuals/skills-and-jobs-development/training-support/IBF-STS>,False
Regulatory Technology Grant,Support financial institutions based in Singapore to enhance the efficiency of their risk management and compliance functions through the use of technological solutions.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/development/fintech/regtech-grant>,False
International Postings Programme (iPOST),The iPOST initiative helps FIs defray part of the costs incurred in sending Singapore citizen staff on global and regional attachments or postings.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost>,False
Energy Efficiency Grant (EEG),"The Energy Efficiency Grant (EEG) aims to help businesses within the Food Services, Manufacturing or Retail sectors to cope with rising energy costs, through co-funding investments in more energy-efficient equipment.",,https://www.gobusiness.gov.sg/gov-assist/grants/</energy-efficiency-grant/>,False
Hawkers Go Digital,"Bonus of $300 per month over 5 months to be given to stallholders in hawker centres, wet markets, coffee shops and industrial canteen to encourage adoption of e-payments.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/hawkersgodigital>,False
Healthier Dining Grant,The Healthier Dining Grant is a funding scheme which empowers Healthier Dining Programme Partners to publicise their healthier menu options either online or offline.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-dining-grant-schemes/about-the-healthier-dining-grant>,False
Healthier Dining Innovation Grant (HDI),"HDI is a funding scheme of up to $5,000 for F&B operators to take their first step towards capability upgrading in 4 areas: R&D, Purchase of Healthier Ingredients, Culinary Training, and Recipe Reformulation.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-dining-grant-schemes/about-the-healthier-dining-innovation>,False
Healthier Ingredient Development Scheme (HIDS),"HIDS is a Healthy Choice Symbol Development Grant that incentivises food ingredient manufacturers/suppliers to develop greater varieties of healthier ingredients for adoption among F&B businesses and consumers. The scheme funds up to 80% qualifying project costs, cap at $200,000.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-ingredient-schemes/about-the-healthier-ingredient-development-scheme>,False
Healthier Ingredient Promotion Scheme (HIPS),"HIPS is a Go-To-Market grant that incentivises food ingredient manufacturers/suppliers to promote the adoption of healthier ingredients, among F&B businesses and consumers. The scheme funds up to 80% qualifying project costs, cap at $300,000.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-ingredient-schemes/about-the-healthier-ingredient-promotion-scheme>,False
Marine and Offshore Engineering Industry Digital Plan,A step-by-step guide for local SMEs in the Marine and Offshore Engineering industry on the digital solutions to adopt and relevant training for your employees at each stage of your growth.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/smes-go-digital/industry-digital-plans/Marine-and-Offshore-Engineering-IDP>,False
Resource Efficiency Grant for Energy (REG(E)),REG(E) encourages companies with manufacturing or data centre activities to implement projects that improve energy efficiency or reduce non-CO2 greenhouse gas (GHG) emissions.,,"https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.edb.gov.sg/en/how-we-help/incentives-and-schemes.html#:~:text=The%20Resource%20Efficiency%20Grant%20for,energy%20efficient%20and%20improve%20competitiveness.&text=Grant%20support%20for%20REG\(E,of%2050%25%20of%20qualifying%20costs>",False
Maritime Cluster Fund (MCF) - Business Development,"MCF-Business Development is available to support eligible expenses incurred by maritime companies and organisations in the setting up of new maritime-related businesses or expansion; into new lines of maritime functions in Singapore, and internationalisation efforts by the maritime companies. MCF-Business Development is a co-funding grant scheme available to qualifying maritime players committed to growing and succeeding in Singapore.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mpa.gov.sg/regulations-advisory/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-\(mcf\)>,False
Tech Subsidy - Social Service Agencies,This scheme is to empower social service agencies with Technology. This scheme is only applicable to NCSS Members and MSF-funded agencies.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ncss.gov.sg/our-initiatives/tech-and-go/funding-support/social-service-agencies---tech-subsidy>,False
Service Industry Transformation Programme (SITP),"This programme aims to support lifestyle sector enterprises in their transformation efforts and to uplift organisational capabilities in innovation, job redesign and manpower planning.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/home/employers-industry-partners/workforce-development-job-redesign/service-and-job-transformation-leadership-programme-\(sjtl\)>,False
Business Events in Singapore (BEiS),The BEiS scheme seeks to encourage the business events industry to anchor and grow quality events as well as catalyse the innovation of new content.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/business-events-in-singapore-beis.html>,False
Business Improvement Fund (BIF),"The BIF aims to encourage technology innovation and adoption, redesign of business model and processes in the tourism sector to improve productivity and competitiveness. STB has expanded BIF to include sustainability initiatives in support of our tourism companies in their sustainability journey to build resource efficiencies, pivot business models to enhance competitiveness, scale up adoption and development of sustainable solutions and pursue sustainability certification across the tourism industries.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/business-improvement-fund-bif.html>,False
Cruise Development Fund (CDF),The CDF supports cruise industry players in activities that will build strong consumer demand for cruises from Singapore.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/cruise-development-fund-cdf.html>,False
Experience Step-Up Fund (ESF),The ESF supports development and enhancement of Singapore’s tourism experiences that increase the attractiveness of Singapore to visitors.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/experience-step-up-fund-esf.html>,False
Kickstart Fund (KF),The KF supports the creation and test-bedding of innovative consumer-focused concepts and events with strong tourism potential and scalability. This is with the aim of adding to the existing quality tourism software and enhancing the vibrancy of Singapore as a tourist destination.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/kickstart-fund-kf.html>,False
Leisure Events Fund (LEF),"The LEF supports the launch and development of world-class, differentiated, and celebrated leisure event experiences in Singapore so as to deliver key tourism outcomes and to contribute towards the agenda of establishing Singapore into one of the world’s most vibrant cities.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/leisure-events-fund-lef.html>,False
Tourism Product Development Fund (TPDF),"The TPDF supports the creation, development of new tourism products and/or major rejuvenation of existing tourism products to increase Singapore destination attractiveness to visitors.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/tourism-product-development-fund-tpdf.html>,False
Training Industry Professionals in Tourism (TIP-iT),"The TIP-iT supports tourism companies in employee upgrading and leadership development, including training in sustainability-related areas.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/training-industry-professionals-in-tourism-tip-it.html>,False
5G Grant | 5G Innovation Programme,IMDA is looking to support 5G use cases in the four strategic clusters of (i) Maritime Operations; (ii) Urban Mobility; (iii...,Infocomm Media Development Authority (IMDA),https://www.imda.gov.sg/how-we-can-help/</how-we-can-help/5g-innovation/5g-grant>,False
IRAS Digital Integration Incentive (DII),"IRAS introduced the Digital Integration Incentive (DII) to incentivise software developers to accelerate integration of IRAS APIs for Corporate Income Tax Returns (Form C-S) and GST Returns (GST F5, F8) as well as e-invoicing capabilities, thereby attaining the IRAS ASR+ Tier 3 status.",Inland Revenue Authority of Singapore (IRAS),https://www.iras.gov.sg/who-we-are/what-we-do/digital-collaboration/for-software-developers/accounting-tax-software/iras-digital-integration-incentive-(dii),False
Growth and Transformation Scheme (GTS),"The Growth and Transformation Scheme (GTS) encourages and supports the formation of strategic alliances among developers, consultants, builders, and sub-contractors across the value chain. It aims to enable companies to reap the benefits of taking a longer-term view on business and workforce transformation, supporting partnership efforts to strengthen technical capabilities and corporate, digital, and innovation practices.",Building and Construction Authority (BCA),https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/<javascript:void\(0\)>,False
InvoiceNow Accelerate,InvoiceNow Accelerate is a newly launched programme in April 2024 to provide newly incorporated businesses a head-start in their digitalisation journey with one year of free InvoiceNow services. The programme supports the growth of these businesses by equipping them with basic digital tools in e-invoicing from the onset.,Infocomm Media Development Authority (IMDA),https://www.imda.gov.sg/how-we-can-help/nationwide-e-invoicing-framework/invoicenow/<https:/form.gov.sg/636386be0db8250011070b36>,False
MINT-Research & Product Development (MINT-RPD),"This scheme supports applied R&D, product development and test-bedding of technology relevant to the maritime industry and encourages development of maritime technology and IP/patent and capabilities development. Relevant outcomes include new technology and services developed and deployed for the maritime industry with researchers, engineers and scientists trained in the new maritime technology capabilities.",Maritime and Port Authority of Singapore,https://www.mpa.gov.sg/regulations-advisory/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund,False
MINT-Startup Grant (MINT-STARTUP),"This scheme encourages the maritime industry to accelerate innovation and venture into adjacent/ new growth areas through working with tech start-ups. Start-ups that have completed the PIER71™ or other relevant maritime programmes from the Accelerator Partners of MPA in Singapore can apply for a grant of up to S$100,000 to carry out POC, POV or pilot projects.",Maritime and Port Authority of Singapore,https://www.mpa.gov.sg/regulations-advisory/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund,False
Partnerships for Capability Transformation (PACT),"The Partnerships for Capability Transformation (PACT) scheme was introduced in 2010 to defray part of costs - such as on equipment, materials, testing and professional services - incurred by original equipment manufacturers (OEMs) and their suppliers, to validate that suppliers’ procedures comply with the OEM’s requirements. PACT also provides wage support for managers hired by the OEMs to undertake supplier identification, procurement and setting up of manufacturing/quality systems. The scheme supports productivity improvements, knowledge transfer, and test-bedding of innovative solutions and covers co-innovation activities such as joint product development by large enterprises and suppliers at the proof-of-concept stage. PACT also supports consortium partnerships in which companies would come together and pursue common business development opportunities. In addition, PACT facilitates efforts by Small and Medium-sized Enterprises (SMEs) to adopt or incorporate niche technologies into their processes or products.",Singapore Economic Development Board,https://www.edb.gov.sg/en/about-edb/media-releases-publications/collaborations-for-enhanced-partnerships-for-capability-transformation.html,False
