name,description,agency,link,error
Navigate Non-Tariff Measures,Get support for compliance risks when you expand into a new overseas market.,,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</grow-your-business/go-global/market-entry-support/navigate-non-tariff-measures>,False
Productivity Solutions Grant,Adopt digital tools and solutions to raise your business’ productivity,,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/productivity-solutions-grant>,False
Market Readiness Assistance Grant,"Get help to set up and promote your business overseas, and identify in-market business partners",,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit,The SFEC encourages employers to invest in enterprise transformation and the capabilities of their employees.,,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/skillsfuture-enterprise-credit>,False
Enterprise Development Grant,"Upgrade your business, innovate, and venture overseas",,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,,https://www.enterprisesg.gov.sg/</financial-support/productivity-solutions-grant>,False
Energy Efficiency Grant,Support for adopting pre-approved energy-efficient equipment.,,https://www.enterprisesg.gov.sg/</financial-support/energy-efficiency-grant>,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",,https://www.enterprisesg.gov.sg/</financial-support/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit (SFEC),Invest in enterprise transformation and capabilities of your employees.,,https://www.enterprisesg.gov.sg/</financial-support/skillsfuture-enterprise-credit>,False
Double Tax Deduction for Internationalisation,Enjoy tax deductions as you expand overseas and seek investment development opportunities.,,https://www.enterprisesg.gov.sg/</financial-support/double-tax-deduction-for-internationalisation>,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme>,False
Enterprise Financing Scheme – Foreign-based Financial Institutions / Multilateral Development Banks,Access overseas financing support to expand your international business footprint.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme-foreign-based-financial-institutions-multilateral-development-banks>,False
Enterprise Financing Scheme – Green,Obtain green financing for sustainable solutions development. (For selected sectors and solutions only),,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---green>,False
Enterprise Financing Scheme – Mergers & Acquisitions,Finance your acquisition of overseas or local enterprises as you expand your business footprint.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---mergers-and-acquisitions>,False
Enterprise Financing Scheme – Project Loan,"Finance your local and overseas projects, and access financing for capital, equipment and guarantees.",,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---project-loan>,False
Enterprise Financing Scheme – SME Fixed Assets,Finance investments in domestic and overseas fixed assets.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-fixed-assets>,False
Enterprise Financing Scheme – SME Working Capital Loan,Built for enterprises to access the right capital for financing operational cashflow needs.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-working-capital>,False
Enterprise Development Grant (EDG),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/productivity-solutions-grant>,False
Enterprise Financing Scheme (EFS),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/enterprise-financing-scheme>,False
Enterprise Financing Scheme – Green (EFS-Green),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/enterprise-financing-scheme--green>,False
Energy Efficiency Grant (Base),"A grant for companies in the Manufacturing, Food Services, or Retail sectors to improve energy efficiency. Eligibility criteria include being a business entity registered and operating in Singapore, having a minimum of 30% local shareholding, employing at least one local employee, and having a Group Annual Sales Turnover no more than S$500 million.",Enterprise Singapore,https://www.enterprisesg.gov.sg/about-us/<https:/www.gobusiness.gov.sg/business-grants-portal/>,False
SkillsFuture Enterprise Credit (SFEC),A credit scheme to support enterprises in transforming their workforce and business capabilities. It covers programmes under Enterprise Transformation and Workforce Transformation.,Enterprise Singapore,https://www.enterprisesg.gov.sg/about-us/<https:/go.gov.sg/sfec-claim-guide>,False
Productivity Solutions Grant (PSG),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/productivity-solutions-grant>,False
Enterprise Development Grant (EDG),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/enterprise-development-grant>,False
Market Readiness Assistance (MRA),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit (SFEC),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/skillsfuture-enterprise-credit>,False
Energy Efficiency Grant (EEG),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/energy-efficiency-grant>,False
Enterprise Sustainability Programme,,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/enterprise-sustainability-programme>,False
Enterprise Sustainability Programme – Catalysing Sustainability in Singapore's SMEs,,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/esp-catalysing-sustainability>,False
SME Sustainability Reporting Programme,,,https://www.enterprisesg.gov.sg/resources/</grow-your-business/boost-capabilities/sustainability/sme-sustainability-reporting-programme>,False
Sustainability Reporting Grant,,,https://www.enterprisesg.gov.sg/resources/</-/media/esg/files/e-services/sustainability-reporting-grant/external-faqs-on-the-sustainability-reporting-grant-srg-v4.pdf>,False
Enterprise Financing Scheme,Phishing site 'noblesingaporeholdltd.com' appears to offer enterprise loans under the Enterprise Financing Scheme and claims that it will share the loan default risk in the event of enterprise insolvency with the Participating Financial Institutions.,Enterprise Singapore,,False
Enterprise Development Grant,Email from 'services@enterprisesingapore.com' requesting to preview a document related to your Enterprise Development Grant is not sent by EnterpriseSG.,Enterprise Singapore,,False
Productivity Solutions Grant,Email from 'hello@savetech.com.sg' claiming to represent EnterpriseSG to raise awareness of government grants. SaveTech is not a pre-approved Productivity Solutions Grant vendor nor a partner we work with.,Enterprise Singapore,,False
Double Tax Deduction for Internationalisation,,,https://www.enterprisesg.gov.sg/</financial-support/double-tax-deduction-for-internationalisation>,False
Enterprise Development Grant (EDG),,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-development-grant>,False
Energy Efficiency Grant,,,https://www.enterprisesg.gov.sg/</financial-support/energy-efficiency-grant>,False
Enterprise Financing Scheme,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme>,False
Enterprise Financing Scheme – Foreign-based Financial Institutions / Multilateral Development Bank,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme-foreign-based-financial-institutions-multilateral-development-banks>,False
Enterprise Financing Scheme-Green,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---green>,False
Enterprise Financing Scheme – Mergers & Acquisitions,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---mergers-and-acquisitions>,False
Enterprise Financing Scheme–Project Loan,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---project-loan>,False
Enterprise Financing Scheme - SME Fixed Assets,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-fixed-assets>,False
Enterprise Financing Scheme – SME Working Capital,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-working-capital>,False
Enterprise Financing Scheme – Trade Loan,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---trade-loan>,False
Enterprise Financing Scheme – Venture Debt,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---venture-debt>,False
Global Trader Programme,,,https://www.enterprisesg.gov.sg/</financial-support/global-trader-programme>,False
Local Enterprise and Association Development (LEAD) Programme,,,https://www.enterprisesg.gov.sg/</financial-support/local-enterprise-and-association-development-programme>,False
Market Readiness Assistance (MRA) Grant,,,https://www.enterprisesg.gov.sg/</financial-support/market-readiness-assistance-grant>,False
Productivity Solutions Grant,,,https://www.enterprisesg.gov.sg/</financial-support/productivity-solutions-grant>,False
Refundable Investment Credit,,,https://www.enterprisesg.gov.sg/</financial-support/refundable-investment-credit>,False
SEEDS Capital,,,https://www.enterprisesg.gov.sg/</financial-support/seeds-capital>,False
SkillsFuture Enterprise Credit (SFEC),,,https://www.enterprisesg.gov.sg/</financial-support/skillsfuture-enterprise-credit>,False
Sustainability Reporting Grant,,,https://www.enterprisesg.gov.sg/</financial-support/sustainability-reporting-grant>,False
Eureka Resilience Call 2024,"The Eureka Resilience Call is jointly administered by EnterpriseSG and 14 other funding agencies. This programme aims to encourage the development of ready-to-market solutions for products, technology-based services or methods that have strong commercial potential in the field(s) of disaster resilience, response and recovery.",EnterpriseSG,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/open-innovation-network/<https:/go.gov.sg/resiliencecall2024>,False
Enterprise Development Grant (Co-Innovation Programme),"With effect from 1 October 2024, eligible companies can receive up to 50% support by default from the Enterprise Development Grant (Co-Innovation Programme), or EDG (CIP), for qualifying cost items. The collaboration with their foreign, in-market partners on innovation activities such as joint R&D projects should result in the development of new products or solutions with strong market potential.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/open-innovation-network/<https:/go.gov.sg/edgcip>,False
Enterprise Development Grant (Co-Innovation Programme),"The Global Innovation Alliance (GIA) Co-Innovation Programmes support Singapore-based companies and their overseas partners to collaborate on R&D projects. Eligible companies can receive up to 50% support by default from the Enterprise Development Grant (Co-Innovation Programme), or EDG (CIP), for qualifying cost items. The collaboration with their foreign, in-market partners on innovation activities such as joint R&D projects should result in the development of new products or solutions with strong market potential.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance/</grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance/cip-programmes,False
Startup SG Equity,Co-invest into Singapore-based technology startups with intellectual property and global market potential.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/</financial-support/startup-sg-equity>,False
Venture Capital Fund Incentive (VCFI),Get tax exemption on qualifying income streams for a period of up to 15 years.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/</financial-support/venture-capital-fund-incentive>,False
Fund Management Incentive (FMI),Receive a concessionary tax rate of 5% for a period of up to 5 years as a fund management company.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/</financial-support/fund-management-incentive>,False
Startup SG Talent,Support for talent sourcing and international founders. Bring the right talent onboard to grow and scale your business. Gain access to Singapore’s vibrant startup ecosystem via an entrepreneurial work visa.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/programmes/4898/startup-sg-talent>,False
Startup SG Founder,"Mentorship and funding support for first-time entrepreneurs. Access to mentorship and funding from Accredited Mentor Partners (AMPs). Applicants will be evaluated based on their business concept, feasibility of business model, strength of management team, and potential market value.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/programmes/4894/startup-sg-founder>,False
Startup SG Tech,Support for deep tech commercialisation. Provides early-stage funding to fast-track the development of proprietary technology. Supports Proof-of-Concept (POC) and Proof-of-Value (POV) for commercialisation of innovative and proprietary technologies.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/programmes/4897/startup-sg-tech>,False
Startup SG Accelerator,"Support for incubators and accelerators to catalyse the growth of startups. Provides funding and non-financial support to local and global startup enablers in Singapore. Applicants will be evaluated based on their unique value proposition and track record in nurturing innovative startups in areas such as access to markets, talents and financing.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/programmes/4900/startup-sg-accelerator>,False
Startup SG Equity,"Co-investment opportunities for investors that provide funding support for high potential startups. Co-invest with independent, qualified third party investors into eligible startups. Invest in selected venture capital firms that in turn invest in eligible startups, through a fund-of-funds approach.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/programmes/4895/startup-sg-equity>,False
Startup SG Infrastructure,"Infrastructural support for startups, multipliers and investors. JTC Launchpads brings together a diverse community of startups, accelerators, incubators, venture capitalist (VC) firms, and ecosystem players in a communal environment, to spur knowledge sharing and collaboration.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/programmes/4896/startup-sg-infrastructure>,False
Startup SG Loan,Government-backed loans via the Enterprise Financing Scheme (EFS). Provides access to seven financing areas to catalyse startups’ growth opportunities.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/enterprise-financing-scheme>,False
Startup SG Network,Networking and collaboration opportunities through a connected community of ecosystem players. Allows startups to profile themselves and connect with local and global ecosystem players. Drives network building for potential business partnerships.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/<https:/www.startupsg.gov.sg/directory/startups>,False
Startup SG Equity,Co-invest into Singapore-based technology startups with intellectual property and global market potential.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/startup-sg-equity>,False
Venture Capital Fund Incentive (VCFI),Get tax exemption on qualifying income streams for a period of up to 15 years.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/venture-capital-fund-incentive>,False
Fund Management Incentive (FMI),Receive a concessionary tax rate of 5% for a period of up to 5 years as a fund management company.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/fund-management-incentive>,False
Enterprise Development Grant (EDG),"The EDG enables Singapore firms to grow and transform by supporting projects to upgrade their business, innovate or venture overseas.",Enterprise Singapore,,False
Global Ready Talent Programme,The talent programme helps firms to offer internships and other work opportunities to attract students and fresh graduates.,Enterprise Singapore,,False
Productivity Solutions Grant,"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. Up to 50% of eligible costs for local SMEs. Receive up to $30,000 and improve your business productivity. Sector-specific and generic solutions are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/enterprise-financing-scheme,False
Productivity Solutions Grant,,Enterprise Singapore,https://www.enterprisesg.gov.sg/-/media/esg/files/financial-assistance/grants/for-local-companies/productivity-solutions-grant/psg-checklist.pdf,False
SkillsFuture Enterprise Credit (SFEC),The SkillsFuture Enterprise Credit encourages employers to invest in enterprise transformation and the capabilities of their employees.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/skillsfuture-enterprise-credit,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Leadership for Transformation Programme (ELT),,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/grow-your-business/boost-capabilities/growth-and-transformation/enterprise-leadership-for-transformation,False
Scale-Up,,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/grow-your-business/boost-capabilities/growth-and-transformation/scale-up,False
Aviation Development Fund (ADF),,Civil Aviation Authority of Singapore,http://www.caas.gov.sg/who-we-are/areas-of-responsibility/developing-the-industry/aviation-development-fund,False
Business Improvement Fund (BIF),,Singapore Tourism Board,https://www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/business-improvement-fund-bif.html,False
Productivity Solutions Grant,"The Productivity Solutions Grant (PSG) supports companies keen on adopting IT solutions and equipment to enhance business processes. PSG covers sector-specific solutions including customer management, data analytics, financial management, and inventory tracking.",Enterprise Singapore,https://www.enterprisesg.gov.sg/-/media/esg/files/financial-assistance/grants/for-local-companies/productivity-solutions-grant/psg-step-by-step-guide.pdf,False
Productivity Solutions Grant (PSG),The PSG supports businesses in the adoption of IT solutions/equipment/consultancy service that improve productivity. It covers the actual purchase/lease/hire cost of the pre-approved equipment or pre-approved IT solution package.,Enterprise Singapore (EnterpriseSG),https://www.enterprisesg.gov.sg/resources/all-faqs/productivity-solutions-grant,False
Productivity Solutions Grant (PSG),"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. Up to 50% of eligible costs for local SMEs. Receive up to $30,000 and improve your business productivity. Sector-specific and generic solutions are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Productivity Solutions Grant (PSG),"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. It offers up to 50% of eligible costs for local SMEs, with support for sector-specific and generic solutions that are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Productivity Solutions Grant (PSG),"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. Up to 50% of eligible costs for local SMEs. Receive up to $30,000 and improve your business productivity. Sector-specific and generic solutions are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Enterprise Development Grant (EDG),"The Enterprise Development Grant (EDG) supports projects that help you upgrade, innovate, grow and transform your business. Submit your individual project proposals with details on your business plans and project outcomes to take your business further. EDG funds qualifying project costs namely third-party consultancy fees, software and equipment, and internal manpower cost.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"The Market Readiness Assistance (MRA) grant helps companies expand into new markets overseas by defraying the costs of overseas market promotion, business development and set-up. The enhanced MRA grant cap of up to S$100,000 will be extended until 31 March 2025.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/</financial-support/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/</financial-support/productivity-solutions-grant>,False
Enterprise Sustainability Programme,Integrate sustainability into your business to capture new opportunities in the green economy.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/</grow-your-business/boost-capabilities/sustainability/enterprise-sustainability-programme>,False
Enterprise Development Grant,"The Enterprise Development Grant supports projects that help businesses grow and transform. It covers areas such as market research, customer insights, and business development.",Enterprise Singapore,,False
Internationalisation Grant,"EnterpriseSG provided Lucence with an internationalisation grant, which helped in the set-up of its Palo Alto laboratory in 2020.",Enterprise Singapore,,False
Enterprise Singapore Grants,Enterprise Singapore provides grants to help companies expand their capabilities and internationalisation efforts.,Enterprise Singapore,https://www.enterprisesg.gov.sg/resources/inspiring-stories/</financial-support>,False


name,description,agency,link,error
Productivity Solutions Grant (PSG),"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity through IT solutions and equipment. It offers up to 50% of eligible costs for local SMEs, with support for sector-specific and generic solutions pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Market Readiness Assistance (MRA) Grant,"The Market Readiness Assistance (MRA) grant helps companies expand into new markets overseas by defraying costs of market promotion, business development, and set-up. It provides support for identifying in-market business partners, and can be up to S$100,000 until 31 March 2025.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
SkillsFuture Enterprise Credit (SFEC),"The SkillsFuture Enterprise Credit encourages employers to invest in enterprise transformation and the capabilities of their employees. It covers programmes under Enterprise Transformation and Workforce Transformation.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/skillsfuture-enterprise-credit,False
Enterprise Development Grant (EDG),"The Enterprise Development Grant (EDG) supports projects to upgrade, innovate, grow, and transform businesses. It funds qualifying project costs such as consultancy fees, software, equipment, and manpower.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
