incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
MAS FSTI Industry-wide Technological Infrastructure or Utility Project Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,[],,,Do Industry-wide Projects,,Up to 50% support on thematic industry-wide or nation-wide utility projects,,['Financial Service'],['Innovation'],False
MAS FSTI Innovation Acceleration Track,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation,Grant,[],,Early Innovation,Encourage Experimentation,,Up to $400K to conduct experiment with novel technology and solutions,,['Financial Service'],['Innovation'],False
MAS Artificial Intelligence (AI) and Data Analytics (DA) Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/artificial-intelligence-and-data-analytics-aida-grant,Grant,[],,,Adopt AI / Data Analytics Technology,,Up to 30% support for projects that demonstrate adoption of AI & DA techniques,,['Financial Service'],"['Digitalisation', 'Innovation']",False
MAS FSTI ESG FinTech Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant,Grant,[],,,Adopt ESG Technology Solutions,,Up to 50% support for Financial Institutions to deploy and scale innovative technology solutions,,['Financial Service'],"['Sustainability', 'Innovation']",False
MAS FSTI Regulatory Technology Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regtech-grant,Grant,[],,,Adopt Digital Solutions,,Support to improve the efficiency of Financial Institutions' risk management and regulatory compliance process,,['Financial Service'],"['Digitalisation', 'Innovation']",False
MAS FSTI Quantum Technology Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-quantum-track,Grant,[],,,Adopt Quantum Technology Solutions,,Support to establish quantum computing and security innovation functions,,['Financial Service'],['Innovation'],False
MAS Grant for Equity Market Singapore (GEMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/grant-for-equity-market-singapore-scheme,Grant,[],,,Be Listed,,SGX Mainboard Listings: 70% Co-funding of eligible expenses with a grant cap of up to S$2M; SGX Catalist Listings: 20% Co-funding of eligible expenses with a grant cap of up to S$300K,,['Financial Service'],['Innovation'],False
Guidelines on Environmental Risk Management for Banks,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-environmental-risk-management,Programme,,,,Environmental Risk Management,,,,['Financial Service'],['Sustainability'],False
Guidelines on Environmental Risk Management for Insurers,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-environmental-risk-management-for-insurers,Programme,,,,Environmental Risk Management,,,,['Financial Service'],['Sustainability'],False
Guidelines on Environmental Risk Management for Asset Managers,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-environmental-risk-management-for-asset-managers,Programme,,,,Environmental Risk Management,,,,['Financial Service'],['Sustainability'],False
Consultation Paper on Guidelines on Transition Planning (Banks),Monetary Authority of Singapore,,https://www.mas.gov.sg/publications/consultations/2023/consultation-paper-on-proposed-guidelines-on-transition-planning-for-banks,Programme,,,,Transition Planning,,,,['Financial Service'],['Sustainability'],False
Consultation Paper on Guidelines on Transition Planning (Insurers),Monetary Authority of Singapore,,https://www.mas.gov.sg/publications/consultations/2023/consultation-paper-on-guidelines-on-transition-planning-for-insurers,Programme,,,,Transition Planning,,,,['Financial Service'],['Sustainability'],False
Consultation Paper on Guidelines on Transition Planning (Asset Managers),Monetary Authority of Singapore,,https://www.mas.gov.sg/publications/consultations/2023/consultation-paper-on-proposed-guidelines-on-transition-planning-for-asset-managers,Programme,,,,Transition Planning,,,,['Financial Service'],['Sustainability'],False
Transition Credits,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/transition-credits,Programme,,,,Accelerating the early retirement of coal-fired power plants,,,,"['Sustainable Energy', 'Financial Service']",['Sustainability'],False
FSTI 3.0 – Quantum and Artificial Intelligence Capabilities,Monetary Authority of Singapore,,https://www.mas.gov.sg/news/media-releases/2024/mas-commits-up-to-s$100-million-to-support-quantum-and-artificial-intelligence-capabilities,Grant,[],,,Building capabilities in quantum and artificial intelligence technologies,,Up to S$100 million,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,"Funding on proof-of-concepts, hiring, business development",,,,['Financial Service'],['Innovation'],False
Project Guardian,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/project-guardian,Programme,[],,,Explore the potential of tokenised real economy and financial assets,,,,['Financial Service'],"['Innovation', 'Digitalisation']",False
Project Orchid,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/project-orchid,Programme,[],,,Develop the infrastructure and technical competencies for a digital Singapore dollar,,,,['Financial Service'],"['Innovation', 'Digitalisation']",False
Ubin+,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/ubin-plus,Programme,[],,,Cross-border foreign exchange settlement using digital currencies,,,,['Financial Service'],"['Innovation', 'Digitalisation']",False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,"Funding on proof-of-concepts, hiring, business development",,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Live experiments of innovation within boundaries,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Technology solutions and projects in Green Finance,,,,"['Financial Service', 'Sustainable Energy']","['Sustainability', 'Innovation']",False
Digital Assets,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/digital-assets,Programme,[],,,Unlocking new possibilities for the future of financial services,,,,['Financial Service'],"['Digitalisation', 'Innovation']",False
Singapore FinTech Festival,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/singapore-fintech-festival,Programme,[],,,"Connect, collaborate and co-create within the FinTech community",,,,['Financial Service'],['Innovation'],False
SG FinDex,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sgfindex,Programme,[],,,Secure access to financial data from private and public sectors,,,,['Financial Service'],['Digitalisation'],False
Business sans Borders,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/business-sans-borders,Programme,[],,,Foster SME digitalisation,,,,['Financial Service'],"['Digitalisation', 'Innovation']",False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,Innovation,"Funding on proof-of-concepts, hiring, business development",,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Innovation,,,,['Financial Service'],['Innovation'],False
SGFinDex,"Monetary Authority of Singapore (MAS), Smart Nation and Digital Government Group (SNDGG)",,https://www.mas.gov.sg/development/fintech/sgfindex,Programme,[],,,Financial data consolidation and access,,,,['Financial Service'],['Digitalisation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,Innovation,"Funding on proof-of-concepts, hiring, business development",,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Testing new innovations in a live environment,,,,['Financial Service'],['Innovation'],False
Sustainable Financing Solutions,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/sustainable-finance-solutions,Grant,[],,,Sustainable Finance,,,,['Financial Service'],['Sustainability'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,Innovation,,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Innovation,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Sustainability,,,,['Financial Service'],['Sustainability'],False
Talent and Leaders in Finance Programme,Monetary Authority of Singapore,2021 – 2025,https://www.mas.gov.sg/development/jobs-and-skills/talent-and-leaders-in-finance-infographic-may-23.pdf,Grant,"['Financial institutions', 'Individuals']",,,Develop skills in finance,"Salary support, training costs",S$400 million in grant funding,,['Financial Service'],['Human Capital'],False
Polytechnic Talent for Finance Scheme (PTFS),Monetary Authority of Singapore,,https://www.mas.gov.sg/-/media/polytechnic-talent-for-finance-scheme-ptfs-mar-24.pdf,Grant,['Financial institutions'],,,Develop skills in finance for polytechnic students and graduates,"Training allowance, salary support, tuition fee support","Training Allowance (80% of monthly stipend, capped at $1,000 per qualifying intern, for up to 12 months); Salary Support ($2,000 per month, capped at 12 months for priority areas); Tuition Fee Support (50% of tuition fees, capped at $10,000)",,['Financial Service'],['Human Capital'],False
International Postings Programme,Monetary Authority of Singapore,Until 31 December 2024,,Grant,['Financial institutions based in Singapore'],,,Develop international capability,"Salary support, non-salary posting expenses","Salary support (50% of qualifying cost, subject to overall cap of $80,000 for total posting expenses); Non-salary posting expenses (50% of qualifying cost, subject to overall cap of $80,000 for Asia postings, or $50,000 for non-Asia postings)",,['Financial Service'],['Internationalisation'],False
Talent and Leaders in Finance Programme,Monetary Authority of Singapore,2021 – 2025,https://www.mas.gov.sg/development/jobs-and-skills/talent-and-leaders-in-finance-infographic-may-23.pdf,Grant,['Financial institutions refer to entities regulated by the Monetary Authority of Singapore.'],,,"Develop skills in Functional domains, Sustainable Finance, Technology, International capability","Salary support, Posting expenses",S$400 million grant funding over 2021 – 2025,,['Financial Service'],"['Human Capital', 'Sustainability', 'Innovation']",False
Polytechnic Talent for Finance Scheme (PTFS),Monetary Authority of Singapore,,https://www.mas.gov.sg/-/media/polytechnic-talent-for-finance-scheme-ptfs-mar-24.pdf,Grant,['Eligible applicants: Financial institutions'],,,Develop skills in Functional domains,"Training Allowance, Salary Support, Tuition Fee Support","Training Allowance (80% of monthly stipend, capped at $1,000 per qualifying intern, for up to 12 months)",,['Financial Service'],['Human Capital'],False
Career Conversion Programme (CCP),Monetary Authority of Singapore,,,Grant,['Eligible applicants: Financial institutions'],,,"Develop skills in Functional domains, Technology",Salary support for CCP trainees,"Up to 70% of monthly salary capped at $5,000 per month for standard rate",,['Financial Service'],"['Human Capital', 'Digitalisation']",False
FinTech Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Test new innovations in a live environment,,,,['Financial Service'],['Innovation'],False
AML/CFT Industry Partnership (ACIP),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/anti-money-laundering/amlcft-industry-partnership-acip,Programme,[],,,Guarding against trade-based money laundering and misuse of company structures,,,,['Financial Service'],['Sustainability'],False
COllaborative Sharing of ML/TF Information & Cases (COSMIC),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/anti-money-laundering/cosmic,Programme,[],,,Collaborative sharing of information to detect criminal activities,,,,['Financial Service'],['Sustainability'],False
Approved Clearing House (ACH) Licence,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/capital-markets/apply-for-licensing-or-registration-of-capital-market-entities,Programme,"['Risk management in accordance with international standards and best practices.', 'Track record, management expertise and financial soundness of the applicant.', 'Ability to meet the minimum financial requirements prescribed under the SFA.', 'Strength of internal controls and systems.', 'Business plans and projections.', 'Corporate governance, fitness and propriety.']","A non-refundable application fee of $4,000 is required.",,Operate a clearing facility,,,,['Financial Service'],['Innovation'],False
Recognised Clearing House (RCH) Licence,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/capital-markets/apply-for-licensing-or-registration-of-capital-market-entities,Programme,"['Risk management in accordance with international standards and best practices.', 'Track record, management expertise and financial soundness of the applicant.', 'Ability to meet the minimum financial requirements prescribed under the SFA.', 'Strength of internal controls and systems.', 'Business plans and projections.', 'Corporate governance, fitness and propriety.']","A non-refundable application fee of $4,000 is required.",,Operate a clearing facility,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,Innovation,"Funding on proof-of-concepts, hiring, business development",,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Licensing and Authorisation for Banking Business,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/banking/licensing-and-authorisation-for-banking-business,Programme,"['Financial soundness, track record, world ranking and reputation of the FI, parent company and major shareholders.', 'Strength of home country supervision, including the willingness and ability of the home supervisory authority to cooperate with MAS, and its framework for cross-border cooperation.', 'Written consent from the home country supervisory authority for the establishment of a banking operation in Singapore.', 'Well-thought strategy for banking and financial services in Singapore, and sound business plans to ensure sustained economic viability.', ""Robust risk management systems and processes that are commensurate with the FI's size and proposed business.""]","All applicants are required to pay a non-refundable application fee of S$20,000.",,Set up a wholesale bank or merchant bank in Singapore,,,,['Financial Service'],['Internationalisation'],False
Standard Payment Institution Licence (SPI),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/payments/licensing-for-payment-service-providers,Programme,"['Be a Singapore-incorporated company or a Singapore branch of a foreign corporation.', 'Have a permanent place of business or a registered office where the books and records can be securely held.', 'At least one person must be appointed to be present at the place of business or a registered office to address any queries or complaints from consumers.', 'Have a minimum base capital of S$100,000.', 'You must have sufficient capital buffer in excess of the base capital requirement, bearing in mind the scale and scope of its operations and the potential for profit and losses.', 'Should have either 1 executive director who is a Singapore Citizen or Singapore Permanent Resident (PR), or 1 executive director who is a Singapore Employment Pass (EP) holder and at least 1 other director who is a Singapore citizen or Singapore PR.']","MAS may require you to obtain a Letter of Responsibility or a Letter of Undertaking from the entity's majority shareholders, parent company and related company, where appropriate.",,Licensing for Payment Service Providers,,,,['Financial Service'],['Innovation'],False
Major Payment Institution Licence (MPI),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/payments/licensing-for-payment-service-providers,Programme,"['Be a Singapore-incorporated company or a Singapore branch of a foreign corporation.', 'Have a permanent place of business or a registered office where the books and records can be securely held.', 'At least one person must be appointed to be present at the place of business or a registered office to address any queries or complaints from consumers.', 'Have a minimum base capital of S$250,000.', 'You must have sufficient capital buffer in excess of the base capital requirement, bearing in mind the scale and scope of its operations and the potential for profit and losses.', 'Should have either 1 executive director who is a Singapore Citizen or Singapore Permanent Resident (PR), or 1 executive director who is a Singapore Employment Pass (EP) holder and at least 1 other director who is a Singapore citizen or Singapore PR.']","MAS may require you to obtain a Letter of Responsibility or a Letter of Undertaking from the entity's majority shareholders, parent company and related company, where appropriate.",,Licensing for Payment Service Providers,,,,['Financial Service'],['Innovation'],False
Money-Changing Licence,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/payments/licensing-for-payment-service-providers,Programme,"[""A sole proprietorship: You must be a Singapore citizen. You must have a minimum of 1 year's relevant working or business experience on a full-time basis."", ""A partnership or limited liability partnership (LLP): The majority of your partners should be Singapore citizens. If there are only 2 partners, only one of them needs to be a Singapore citizen. Each partner must have a minimum of 1 year's relevant working or business experience on a full-time basis."", ""Singapore-owned company: More than 50% of the equity shareholdings should be beneficially owned and effectively controlled by Singapore citizens. A majority of the board of directors of the company should be Singapore citizens. If there are only 2 directors, only one of them needs to be a Singapore citizen. Each executive director must have a minimum of 1 year's relevant working or business experience on a full-time basis."", 'Singapore incorporated wholly-owned subsidiary of a foreign bank, or a foreign company primarily engaged in money-changing: The parent company must be of significant size, possess a good track record and reputation, be adequately regulated and supervised by its home supervisory authority for anti-money laundering/combating the financing of terrorism (AML/CFT). If the entity is a foreign bank, it must rank among the top banks in the country where it is incorporated.']","MAS may require you to obtain a Letter of Responsibility or a Letter of Undertaking from the entity's majority shareholders, parent company and related company, where appropriate.",,Licensing for Payment Service Providers,,,,['Financial Service'],['Innovation'],False
Interest Rate Benchmarks Transition,Monetary Authority of Singapore,immediately after 31 December 2024,https://www.mas.gov.sg/regulation/interest-rate-benchmarks-transition,Programme,"['Customers with floating rate products such as loans, investments and derivatives contracts that still reference the impacted benchmarks (SOR/LIBOR) have to transition their contracts to reference the corresponding ARRs as soon as possible.', 'For customers with products referencing SIBOR, the SC-STS published its final recommendations on 30 June 2023 on the approach to convert SIBOR loans to SORA.']",FIs were expected to comply with the transition timelines and adopt the principles on customer engagement.,,Transition to Alternative Reference Rates (ARRs),,,,['Financial Service'],['Sustainability'],False
Financial Associate Management Scheme (FAMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/finance-associate-management-scheme-fams,Grant,[],,,Hiring and training Singapore citizen staff,,Defray part of the costs,,['Financial Service'],['Human Capital'],False
International Postings Programme (iPOST),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost,Grant,[],,,Sending Singapore citizen staff on overseas attachments or postings,,Helps with the costs,,['Financial Service'],['Internationalisation'],False
Finance Scholarship Programme (FSP),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/jobs-and-skills,Grant,[],,,Develop specialist leaders in Singapore's finance sector,,,,['Financial Service'],['Human Capital'],False
SkillsFuture Study Award for the Financial Services Sector,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/skillsfuture-study-award-for-the-financial-services-sector,Grant,[],,,Develop and deepen skills through a wide range of programmes,,,,['Financial Service'],['Human Capital'],False
MAS Cyber and Technology Resilience Experts Panel,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/cyber-security,Programme,,,,Enhancing technology resilience and tackling emerging threats,,,,['Financial Service'],"['Digitalisation', 'Innovation']",False
Notice on Management of Outsourced Relevant Services for Banks,Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/notices/notice-658,Programme,[],"Banks must comply with MAS regulations and guidance on operational risk, technology risk, and business continuity management.",,Management of Outsourced Relevant Services,,,,['Financial Service'],['Risk Management'],False
Notice on Management of Outsourced Relevant Services for Merchant Banks,Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/notices/notice-1121,Programme,[],"Merchant banks must comply with MAS regulations and guidance on operational risk, technology risk, and business continuity management.",,Management of Outsourced Relevant Services,,,,['Financial Service'],['Risk Management'],False
Guidelines on Outsourcing (Banks),Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-outsourcing-banks,Programme,[],Banks must adhere to MAS expectations on risk management of outsourcing arrangements.,,Risk Management of Outsourcing Arrangements,,,,['Financial Service'],['Risk Management'],False
Guidelines on Outsourcing (Financial Institutions other than Banks),Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-outsourcing-financial-institutions-other-than-banks,Programme,[],Non-bank financial institutions must adhere to MAS expectations on risk management of outsourcing arrangements.,,Risk Management of Outsourcing Arrangements,,,,['Financial Service'],['Risk Management'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,"Funding on proof-of-concepts, hiring, business development",,,,"['Financial Service', 'ICT & Media', 'All']",['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Relaxation of regulatory requirements for live experiments,,,,"['Financial Service', 'ICT & Media', 'All']",['Innovation'],False
Shared Responsibility Framework,Monetary Authority of Singapore (MAS) and Infocomm Media Development Authority of Singapore (IMDA),,https://www.mas.gov.sg/regulation/combatting-scams,Programme,"['Financial institutions and telecommunications providers must adhere to the framework.', 'Consumers must report phishing scams to their financial institution and the police.']",Consumers must furnish a valid email address and any other supporting information such as a police report and digital communication trail(s).,,Mitigation of phishing scams,,,Financial institutions will coordinate the investigation and inform the victim of the outcome.,['Financial Service'],['Digitalisation'],False
Financial Associate Management Scheme (FAMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/finance-associate-management-scheme-fams,Grant,[],,,Defray part of the costs of hiring and training Singapore citizen staff,,,,['Financial Service'],['Human Capital'],False
International Postings Programme (iPOST),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost,Grant,[],,,Support costs of sending Singapore citizen staff on overseas attachments or postings,,,,['Financial Service'],['Internationalisation'],False
Finance Scholarship Programme (FSP),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/jobs-and-skills,Grant,[],,,Develop specialist leaders in a variety of fields in Singapore's finance sector,,,,['Financial Service'],['Human Capital'],False
SkillsFuture Study Award for the Financial Services Sector,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/skillsfuture-study-award-for-the-financial-services-sector,Grant,[],,,Develop and deepen skills through a wide range of programmes,,,,['Financial Service'],['Human Capital'],False
Financial Associate Management Scheme (FAMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/finance-associate-management-scheme-fams,Grant,[],,,Defray part of the costs of hiring and training Singapore citizen staff,,,,['Financial Service'],['Human Capital'],False
International Postings Programme (iPOST),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost,Grant,[],,,Support costs of sending Singapore citizen staff on overseas attachments or postings,,,,['Financial Service'],['Internationalisation'],False
Finance Scholarship Programme (FSP),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/jobs-and-skills,Grant,[],,,Develop specialist leaders in a variety of fields in Singapore's finance sector,,,,['Financial Service'],['Human Capital'],False
SkillsFuture Study Award for the Financial Services Sector,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/skillsfuture-study-award-for-the-financial-services-sector,Grant,[],,,Develop and deepen skills through a wide range of programmes,,,,['Financial Service'],['Human Capital'],False
Artificial Intelligence and Data Analytics (AIDA) Grant,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/artificial-intelligence-and-data-analytics-aida-grant,Grant,"['The grant is only open to Singapore-based Financial Institutions (FI), FinTechs or Industry Consortiums.']",Completed application forms should be submitted 3 months before the commencement of projects to facilitate processing of applications.,,AIDA adoption to improve decision making and/or generate better insights,"Manpower costs, Hardware/Software, Professional Services","The AIDA Grant provides up to 30% co-funding of qualifying expenses, capped at SGD $500,000","Project status reports, Auditor’s certification",['Financial Service'],"['Digitalisation', 'Innovation']",False
