incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
MAS Artificial Intelligence (AI) and Data Analytics (DA) Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/artificial-intelligence-and-data-analytics-aida-grant,Grant,,,,Adopt AI / Data Analytics Technology,,Up to 30% support for projects that demonstrate adoption of AI & DA techniques,,['Financial Service'],"['Digitalisation', 'Innovation']",False
MAS FSTI ESG FinTech Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant,Grant,,,,Adopt ESG Technology Solutions,,Up to 50% support for Financial Institutions to deploy and scale innovative technology solutions,,['Financial Service'],"['Sustainability', 'Innovation']",False
MAS FSTI Regulatory Technology Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regtech-grant,Grant,,,,Adopt Digital Solutions,,Support to improve the efficiency of Financial Institutions' risk management and regulatory compliance process,,['Financial Service'],"['Digitalisation', 'Innovation']",False
MAS FSTI Quantum Technology Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-quantum-track,Grant,,,,Adopt Quantum Technology Solutions,,Support to establish quantum computing and security innovation functions,,['Financial Service'],['Innovation'],False
MAS Grant for Equity Market Singapore (GEMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/grant-for-equity-market-singapore-scheme,Grant,,,,Be Listed,,SGX Mainboard Listings: 70% Co-funding of eligible expenses with a grant cap of up to S$2M; SGX Catalist Listings: 20% Co-funding of eligible expenses with a grant cap of up to S$300K,,['Financial Service'],['Innovation'],False
Infrastructure Asia,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/sustainable-finance-solutions,Programme,[],,,"Connecting partners, building capabilities, and providing advisory services for smart and sustainable urban solutions",,,,"['Sustainable Energy', 'Built Environment', 'Financial Service', 'All']","['Sustainability', 'Innovation']",False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,"Funding on proof-of-concepts, hiring, business development and more",,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation within boundaries,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,,,,Technology solutions and projects in Green Finance,,,,['Financial Service'],"['Sustainability', 'Innovation']",False
Digital Assets,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/digital-assets,Programme,,,,Unlocking new possibilities for the future of financial services,,,,['Financial Service'],['Innovation'],False
SG FinDex,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sgfindex,Programme,,,,Secure access to financial data from private and public sectors,,,,['Financial Service'],['Digitalisation'],False
Financing Asia’s Transition Partnership (FAST-P),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/taxonomy,Programme,,,,Support for transition and decarbonisation projects,,Concessional capital to achieve a lower blended cost of capital,,"['Sustainable Energy', 'Financial Service']",['Sustainability'],False
Project Guardian,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/project-guardian,Programme,,,,Explore the potential of tokenised real economy and financial assets,,,,['Financial Service'],"['Innovation', 'Digitalisation']",False
Project Orchid,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/project-orchid,Programme,,,,Develop the infrastructure and technical competencies necessary to issue a digital Singapore dollar,,,,['Financial Service'],"['Innovation', 'Digitalisation']",False
Ubin+,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/ubin-plus,Programme,,,,Cross-border foreign exchange (FX) settlement using digital currencies,,,,['Financial Service'],"['Innovation', 'Digitalisation']",False
Guidelines on Environmental Risk Management for Banks,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-environmental-risk-management,Programme,,,,Environmental Risk Management,,,,['Financial Service'],['Sustainability'],False
Guidelines on Environmental Risk Management for Insurers,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-environmental-risk-management-for-insurers,Programme,,,,Environmental Risk Management,,,,['Financial Service'],['Sustainability'],False
Guidelines on Environmental Risk Management for Asset Managers,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-environmental-risk-management-for-asset-managers,Programme,,,,Environmental Risk Management,,,,['Financial Service'],['Sustainability'],False
Consultation Paper on Guidelines on Transition Planning (Banks),Monetary Authority of Singapore,,https://www.mas.gov.sg/publications/consultations/2023/consultation-paper-on-proposed-guidelines-on-transition-planning-for-banks,Programme,,,,Transition Planning,,,,['Financial Service'],['Sustainability'],False
Consultation Paper on Guidelines on Transition Planning (Insurers),Monetary Authority of Singapore,,https://www.mas.gov.sg/publications/consultations/2023/consultation-paper-on-guidelines-on-transition-planning-for-insurers,Programme,,,,Transition Planning,,,,['Financial Service'],['Sustainability'],False
Consultation Paper on Guidelines on Transition Planning (Asset Managers),Monetary Authority of Singapore,,https://www.mas.gov.sg/publications/consultations/2023/consultation-paper-on-proposed-guidelines-on-transition-planning-for-asset-managers,Programme,,,,Transition Planning,,,,['Financial Service'],['Sustainability'],False
Financing Asia’s Transition Partnership (FAST-P),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance,Programme,,,,Support for transition and decarbonisation projects,,Concessional capital to achieve a lower blended cost of capital,,"['Sustainable Energy', 'Financial Service']",['Sustainability'],False
Project Greenprint - ESG Disclosure Portal,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Sustainability reporting and ESG data access,,,Corporate-level sustainability data upload,['Financial Service'],"['Sustainability', 'Digitalisation']",False
Project Greenprint - ESG Registry,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Tracking and analysis of sustainability commitments,,,Tamper-proof record of sustainability certifications,['Financial Service'],"['Sustainability', 'Digitalisation']",False
Project Greenprint - Data Orchestrator,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Aggregation and analysis of sustainability data,,,Consent-based access to aggregated data sources,['Financial Service'],"['Sustainability', 'Digitalisation']",False
Project Greenprint - Greenprint Marketplace,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Facilitating partnerships and investments in green solutions,,,Curated listings of solution providers and investors,['Financial Service'],"['Sustainability', 'Innovation']",False
ESG Impact Hub,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Collaboration between ESG FinTechs and stakeholders,,,Facilitated collaboration and growth of ESG ecosystem,['Financial Service'],"['Sustainability', 'Innovation']",False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation,"Funding on proof-of-concepts, hiring, business development",,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation,,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,,,,Technology solutions and projects in Green Finance,,,,['Financial Service'],"['Sustainability', 'Innovation']",False
Transition Credits,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/transition-credits,Programme,[],,,Accelerating the early retirement of coal-fired power plants,,,,['Sustainable Energy'],['Sustainability'],False
SGFinDex,"Monetary Authority of Singapore (MAS), Smart Nation and Digital Government Group (SNDGG)",,https://www.mas.gov.sg/development/fintech/sgfindex,Programme,[],,,Financial data consolidation and access,,,,['Financial Service'],['Digitalisation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation funding,"Proof-of-concepts, hiring, business development",,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,,,,Technology solutions and projects in Green Finance,,,,['Sustainable Energy'],['Sustainability'],False
Digital Assets,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/digital-assets,Programme,,,,Unlocking new possibilities for the future of financial services,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation,,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Innovation,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,,,,Sustainability,,,,['Financial Service'],['Sustainability'],False
Financial Sector Incentive (FSI) scheme,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/financial-sector-tax-incentive-schemes/financial-sector-incentive-scheme,Tax Incentive,,,,Setting up or expanding operations in Singapore,,,,['Financial Service'],['Internationalisation'],False
Insurance Business Development (IBD) scheme,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/financial-sector-tax-incentive-schemes/financial-sector-incentive-scheme,Tax Incentive,,,,Setting up or expanding operations in Singapore,,,,['Financial Service'],['Internationalisation'],False
Financial Sector Development Fund (FSDF),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/financial-sector-development-fund-fsdf,Grant,,,,Participating in the financial services sector,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,FinTech startup support,,,,['Financial Service'],['Innovation'],False
Grants for Smaller Financial Institutions,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/grants-for-smaller-fis,Grant,,,,Growth and development support for smaller financial institutions,,,,['Financial Service'],['Innovation'],False
,,,https://www.mas.gov.sg/regulation/anti-money-laundering/targeted-financial-sanctions/lists-of-designated-individuals-and-entities,,,,,,,,,,,False
Offers of Securities and Securities-based Derivatives Contracts,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/capital-markets/register-offers-of-investments,Programme,"['Offers where the minimum transaction amount is S$200,000', 'Small Offers – Total amount raised is S$5 million or less in 12 months', 'Private Placement – Offers made to no more than 50 persons in 12 months', 'Offers targeted at accredited or institutional investors']","Unless otherwise exempted, the SFA requires all offers of securities or securities-based derivatives contracts to be accompanied by a prospectus and product highlights sheet registered with MAS.",,Regulation of offers of securities or securities-based derivatives contracts,,,,['Financial Service'],['Regulation'],False
Talent and Leaders in Finance Programme,Monetary Authority of Singapore,2021 – 2025,https://www.mas.gov.sg/development/jobs-and-skills/talent-and-leaders-in-finance-infographic-may-23.pdf,Grant,"['Financial institutions', 'Individuals']",,,Develop skills in finance,"Salary support, training costs",S$400 million in grant funding,,['Financial Service'],['Human Capital'],False
Polytechnic Talent for Finance Scheme (PTFS),Monetary Authority of Singapore,,https://www.mas.gov.sg/-/media/polytechnic-talent-for-finance-scheme-ptfs-mar-24.pdf,Grant,['Financial institutions'],,,Develop skills in finance for polytechnic students and graduates,"Training allowance, salary support, tuition fee support","Training Allowance (80% of monthly stipend, capped at $1,000 per qualifying intern, for up to 12 months); Salary Support ($2,000 per month, capped at 12 months for priority areas); Tuition Fee Support (50% of tuition fees, capped at $10,000)",,['Financial Service'],['Human Capital'],False
International Postings Programme,Monetary Authority of Singapore,Until 31 December 2024,,Grant,['Financial institutions based in Singapore'],,,Develop international capability,"Salary support, non-salary posting expenses","Salary support (50% of qualifying cost, subject to overall cap of $80,000 for total posting expenses); Non-salary posting expenses (50% of qualifying cost, subject to overall cap of $80,000 for Asia postings, or $50,000 for non-Asia postings)",,['Financial Service'],['Internationalisation'],False
Licensing and Authorisation for Banking Business,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/banking/licensing-and-authorisation-for-banking-business,Programme,"['Financial soundness, track record, world ranking and reputation of the FI, parent company and major shareholders.', 'Strength of home country supervision, including the willingness and ability of the home supervisory authority to cooperate with MAS, and its framework for cross-border cooperation.', 'Written consent from the home country supervisory authority for the establishment of a banking operation in Singapore.', 'Well-thought strategy for banking and financial services in Singapore, and sound business plans to ensure sustained economic viability.', ""Robust risk management systems and processes that are commensurate with the FI's size and proposed business.""]","All applicants are required to provide confirmation of payment of application fee (e.g. payment advice, bank statement transaction details) when submitting your application form.",,Conduct banking business in Singapore,,,,['Financial Service'],['Internationalisation'],False
FinTech Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Test new innovations in a live environment,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation,,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Approved Clearing House (ACH) Licence,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/capital-markets/apply-for-licensing-or-registration-of-capital-market-entities,Programme,"['Risk management in accordance with international standards and best practises.', 'Track record, management expertise and financial soundness of the applicant.', 'Ability to meet the minimum financial requirements prescribed under the SFA.', 'Strength of internal controls and systems.', 'Business plans and projections.', 'Corporate governance, fitness and propriety.']",Submit the Form 1 - Application for Approval or Recognition as a Clearing Facility.,,Operate a clearing facility,,,,['Financial Service'],['Innovation'],False
Recognised Clearing House (RCH) Licence,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/capital-markets/apply-for-licensing-or-registration-of-capital-market-entities,Programme,"['Risk management in accordance with international standards and best practises.', 'Track record, management expertise and financial soundness of the applicant.', 'Ability to meet the minimum financial requirements prescribed under the SFA.', 'Strength of internal controls and systems.', 'Business plans and projections.', 'Corporate governance, fitness and propriety.']",Submit the Form 1 - Application for Approval or Recognition as a Clearing Facility.,,Operate a clearing facility,,,,['Financial Service'],['Innovation'],False
AML/CFT Industry Partnership (ACIP),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/anti-money-laundering/amlcft-industry-partnership-acip,Programme,[],,,Guarding against trade-based money laundering and misuse of company structures,,,,['Financial Service'],['Sustainability'],False
COllaborative Sharing of ML/TF Information & Cases (COSMIC),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/anti-money-laundering/cosmic,Programme,[],,,Collaborative detection of criminal activities,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,"Funding on proof-of-concepts, hiring, business development",,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Enable live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Talent and Leaders in Finance Programme,Monetary Authority of Singapore,2021 – 2025,https://www.mas.gov.sg/development/jobs-and-skills,Grant,"['Financial institutions', 'Individuals']",,,Skills training and development,"Salary support, training costs",S$400 million grant funding,,['Financial Service'],"['Human Capital', 'Sustainability', 'Innovation']",False
Polytechnic Talent for Finance Scheme (PTFS),Monetary Authority of Singapore,,https://www.mas.gov.sg/-/media/polytechnic-talent-for-finance-scheme-ptfs-mar-24.pdf,Grant,['Financial institutions'],,,"Internships, apprenticeships, sponsorships","Training allowance, salary support, tuition fee support","Training Allowance (80% of monthly stipend, capped at $1,000 per qualifying intern, for up to 12 months); Salary Support ($2,000 per month, capped at 12 months for priority areas; $1,000 per month, capped at 12 months for non-priority areas); Tuition Fee Support (50% of tuition fees, capped at $10,000)",,['Financial Service'],['Human Capital'],False
International Postings Programme,Monetary Authority of Singapore,Until 31 December 2024,https://www.mas.gov.sg/development/jobs-and-skills,Grant,['Financial institutions based in Singapore'],,,Overseas postings to build international capabilities,"Salary support, non-salary posting expenses","Salary support (50% of qualifying cost, subject to overall cap of $80,000 for total posting expenses); Non-salary posting expenses (50% of qualifying cost, subject to overall cap of $80,000 for Asia postings, or $50,000 for non-Asia postings)",,['Financial Service'],['Internationalisation'],False
Financial Associate Management Scheme (FAMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/finance-associate-management-scheme-fams,Grant,,,,Defray part of the costs of hiring and training Singapore citizen staff,,,,['Financial Service'],['Human Capital'],False
International Postings Programme (iPOST),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost,Grant,,,,Support costs of sending Singapore citizen staff on overseas attachments or postings,,,,['Financial Service'],['Internationalisation'],False
Finance Scholarship Programme (FSP),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/jobs-and-skills,Grant,,,,Develop specialist leaders in Singapore's finance sector,,,,['Financial Service'],['Human Capital'],False
SkillsFuture Study Award for the Financial Services Sector,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/skillsfuture-study-award-for-the-financial-services-sector,Grant,,,,Develop and deepen skills through a wide range of programmes,,,,['Financial Service'],['Human Capital'],False
Shared Responsibility Framework,Monetary Authority of Singapore (MAS) and Infocomm Media Development Authority of Singapore (IMDA),,https://www.mas.gov.sg/regulation/combatting-scams,Programme,"['Financial institutions and telecommunications providers must adhere to the framework.', 'Consumers must report phishing scams to their financial institution and the police.']",Consumers must furnish a valid email address and any other supporting information such as a police report and digital communication trail(s).,,Mitigation of phishing scams,,,Outcome of investigation and recourse stage for dispute resolution.,['Financial Service'],['Digitalisation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,Innovation,,,,['Financial Service'],['Innovation'],False
Financial Sector Development Fund,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/financial-sector-development-fund-fsdf,Grant,[],,,Financial Sector Development,,,,['Financial Service'],['Innovation'],False
Financial Sector Tax Incentive Schemes,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/financial-sector-tax-incentive-schemes,Tax Incentive,[],,,Tax Incentive,,,,['Financial Service'],['Innovation'],False
Grants for Smaller Financial Institutions,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/grants-for-smaller-fis,Grant,[],,,Support for Smaller Financial Institutions,,,,['Financial Service'],['Innovation'],False
MAS Cyber and Technology Resilience Experts Panel,Monetary Authority of Singapore,,https://www.mas.gov.sg/who-we-are/mas-advisory-panels-and-committees/cyber-and-technology-resilience-experts-panel,Programme,,,,Enhancing technology and cyber resilience,,,,['Financial Service'],"['Digitalisation', 'Innovation']",False
Financial Associate Management Scheme (FAMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/finance-associate-management-scheme-fams,Grant,,,,Defray part of the costs of hiring and training Singapore citizen staff,,,,['Financial Service'],['Human Capital'],False
International Postings Programme (iPOST),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost,Grant,,,,Support costs of sending Singapore citizen staff on overseas attachments or postings,,,,['Financial Service'],['Internationalisation'],False
Finance Scholarship Programme (FSP),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/jobs-and-skills,Grant,,,,Develop specialist leaders in Singapore's finance sector,,,,['Financial Service'],['Human Capital'],False
SkillsFuture Study Award for the Financial Services Sector,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/skillsfuture-study-award-for-the-financial-services-sector,Grant,,,,Develop and deepen skills through a wide range of programmes,,,,['Financial Service'],['Human Capital'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation,,,,['Financial Service'],['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,,,,Technology solutions and projects in Green Finance,,,,['Financial Service'],"['Sustainability', 'Innovation']",False
Financial Associate Management Scheme (FAMS),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/finance-associate-management-scheme-fams,Grant,,,,Defray part of the costs of hiring and training Singapore citizen staff,,,,['Financial Service'],['Human Capital'],False
International Postings Programme (iPOST),Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost,Grant,,,,Defray costs of sending Singapore citizen staff on overseas attachments or postings,,,,['Financial Service'],['Internationalisation'],False
Finance Scholarship Programme (FSP),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/jobs-and-skills,Grant,,,,Develop specialist leaders in Singapore's finance sector,,,,['Financial Service'],['Human Capital'],False
SkillsFuture Study Award for the Financial Services Sector,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/skillsfuture-study-award-for-the-financial-services-sector,Grant,,,,Develop and deepen skills through a wide range of programmes,,,,['Financial Service'],['Human Capital'],False
Standard Payment Institution Licence (SPI),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/payments/licensing-for-payment-service-providers,Programme,"['Be a Singapore-incorporated company or a Singapore branch of a foreign corporation.', 'Have a permanent place of business or a registered office where the books and records can be securely held.', 'At least one person must be appointed to be present at the place of business or a registered office to address any queries or complaints from consumers.', 'Have a minimum base capital of S$100,000.', 'You must have sufficient capital buffer in excess of the base capital requirement, bearing in mind the scale and scope of its operations and the potential for profit and losses.', 'Should have either 1 executive director who is a Singapore Citizen or Singapore Permanent Resident (PR), or 1 executive director who is a Singapore Employment Pass (EP) holder and at least 1 other director who is a Singapore citizen or Singapore PR.']",,,Licensing for Payment Service Providers,,,,['Financial Service'],['Innovation'],False
Major Payment Institution Licence (MPI),Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/payments/licensing-for-payment-service-providers,Programme,"['Be a Singapore-incorporated company or a Singapore branch of a foreign corporation.', 'Have a permanent place of business or a registered office where the books and records can be securely held.', 'At least one person must be appointed to be present at the place of business or a registered office to address any queries or complaints from consumers.', 'Have a minimum base capital of S$250,000.', 'You must have sufficient capital buffer in excess of the base capital requirement, bearing in mind the scale and scope of its operations and the potential for profit and losses.', 'Should have either 1 executive director who is a Singapore Citizen or Singapore Permanent Resident (PR), or 1 executive director who is a Singapore Employment Pass (EP) holder and at least 1 other director who is a Singapore citizen or Singapore PR.']",,,Licensing for Payment Service Providers,,,,['Financial Service'],['Innovation'],False
