event_title,event_date,event_time,event_mode,event_organiser,event_summary,event_description,event_venue,event_address,cost,event_type,capability_area,sub_capability_area,industries,market_focus,link_to_event_page,error
Overseas Market Workshop to Japan 2025,2025-04-21 to 2025-04-25,,physical,,,,,,free,business mission,['internationalisation'],,,['japan'],https://members.sbf.org.sg/Overseas-Market-Workshop-to-Japan-2025,False
Overseas Market Workshop to USA,2025-05-07 to 2025-05-14,,physical,,,,,,free,business mission,['internationalisation'],['expand network'],,['north and latin america'],https://members.sbf.org.sg/Overseas-Market-Workshop-to-USA,False
"OMW - Egypt in Focus: Uncovering Opportunities in Urban Solutions, Agriculture & Logistics",2025-05-11 to 2025-05-15,,physical,,,,,,free,['business mission'],['internationalisation'],['expand network'],"['urban solutions', 'agriculture', 'logistics']",['africa'],https://members.sbf.org.sg/Egypt-in-Focus-Uncovering-Opportunities-in-Urban-Solutions-Agriculture-Logistics,False
Overseas Market Workshop to Indonesia,2025-05-19 to 2025-05-23,,physical,,,,,,free,['business mission'],['internationalisation'],['expand network'],,['southeast asia'],https://members.sbf.org.sg/Overseas-Market-Workshop-to-Indonesia,False
OMW to Mongolia 2025,2025-05-27 to 2025-06-02,,physical,,,,,,free,['business mission'],['internationalisation'],['expand network'],,['asia-pacific'],https://members.sbf.org.sg/OMW-to-Mongolia-2025,False
China - ASEAN Expo 2025 (CAEXPO),2025-09-17 to 2025-09-21,,physical,,,,,,paid,tradeshow or conference,['internationalisation'],,,"['china', 'asean']",https://members.sbf.org.sg/China-ASEAN-Expo-2025-CAEXPO,False
China International Import Expo (CIIE) 2025,2025-11-05 to 2025-11-10,,physical,,,,,,free,tradeshow or conference,['internationalisation'],,,['china'],https://members.sbf.org.sg/China-International-Import-Expo-CIIE-2025,False
Expand Globally: Payment Strategies for Enterprises,2025-04-30,9:30 AM to 1:00 PM,physical,,,,,,paid,['seminar or workshop'],['internationalisation'],['business development'],,['no market focus'],https://members.sbf.org.sg/Masterclass-Expand-Globally-Payment-Strategies-for-Enterprises,False
SBF-SID Leadership Programme for TAC Councils,2025-07-08,9:00 AM to 1:00 PM,physical,,,,,,paid,['seminar or workshop'],['human capital'],,,['no market focus'],https://members.sbf.org.sg/SBF-SID-Leadership-Programme-for-TAC-Councils,False
[SSG-Funded Course] Evaluate the preparation of shipping documents associated with the import and export of goods,2025-04-25 to 2025-04-28,,physical,,,,,"160 Robinson Road #06-01 SBF Center, Singapore 068914",paid,['seminar or workshop'],['internationalisation'],['compliance'],['wholesale trade'],['no market focus'],https://members.sbf.org.sg/Evaluate-the-preparation-of-shipping-documents-associated-with-the-import-and-export-of-goods,False
Eyeing Asia : Employment Law In Malaysia *popular!*,2025-06-23,2:00 PM to 5:30 PM,physical,,,,,,paid,['seminar or workshop'],['human capital'],,,['asia-pacific'],https://members.sbf.org.sg/Eyeing-Asia-Employment-Law-In-Malaysia_2,False
Leveraging Digitalisation and Grants for Business Growth,2025-04-03,11:00 am,physical,,,,,,,['seminar or workshop'],['innovation'],,,['no market focus'],https://smecentre-sccci.sg/events/leveraging-digitalisation-and-grants-for-business-growth,False
AI Trends in 2025: Navigating the Future with Generative AI,2025-03-21,2:30 pm,physical,,,,Singapore,,,['seminar or workshop'],['innovation'],,,['no market focus'],https://smecentre-sccci.sg/events/ai-trends-in-2025-navigating-the-future-with-generative-ai,False
Riding the Waves: JB-SEZ Project & RTS Link,2025-02-27,2:30 pm,physical,,,,,,,['seminar or workshop'],['internationalisation'],,,['no market focus'],https://smecentre-sccci.sg/events/riding-the-waves-jb-sez-project-rts-link,False
Navigating Effective Sustainability Reporting: Build a Greener Future,2025-01-21,2:30 pm,physical,,,,,,,['seminar or workshop'],['sustainability'],,,['no market focus'],https://smecentre-sccci.sg/events/navigating-effective-sustainability-reporting-build-a-greener-future,False
Driving Innovation for Growth: Open Innovation and Overseas Expansion,2024-12-11,11:00 am,physical,,,,,,,['seminar or workshop'],"['innovation', 'internationalisation']",,,['no market focus'],https://smecentre-sccci.sg/events/driving-innovation-for-growth-open-innovation-and-overseas-expansion,False
